event-id,timestamp,location-long,location-lat,external-temperature,gps:dop,height-raw,sensor-type,tag-local-identifier,individual-local-identifier
9710320874,2013-06-21 22:45,-111.158831,56.79131,25.0,2.2,425.95,gps,33677,33677
9710533511,2012-11-17 10:45,-112.02003,56.579777,1.0,2.2,266.77,gps,32270,32270
9710460923,2012-10-20 10:02,-112.519953,57.234876,9.0,5.0,525.82,gps,32252,32252
9710447228,2013-09-05 19:00,-111.688198,60.115926,28.0,2.2,183.79,gps,33679,33679
9710330460,2014-02-01 21:20,-112.329681,56.586427,5.0,1.6,462.23,gps,33678,33678B
9710365656,2014-02-09 03:50,-111.556165,56.685885,-13.0,2.0,357.92,gps,32261,32261B
9710503434,2012-11-20 17:15,-111.198139,56.899599,1.0,2.0,388.55,gps,32258,32258
9710525523,2014-01-14 22:50,-111.520125,57.466931,14.0,2.2,280.01,gps,33676,33676
9710323862,2013-01-22 06:20,-111.850595,56.944301,-13.0,0.6,389.71,gps,33670,33670
9710501822,2012-08-04 10:00,-111.055311,56.831986,17.0,1.8,401.38,gps,32258,32258
9710331786,2014-02-11 02:20,-112.086356,56.98411,-10.0,1.6,455.41,gps,33678,33678B
9710400667,2012-04-14 17:45,-111.903569,57.217235,6.0,2.2,312.44,gps,32266,32266
9710370771,2014-03-16 16:50,-111.591226,56.731089,11.0,2.0,398.43,gps,32261,32261B
9710456287,2012-07-21 07:01,-111.57238,56.5421,17.0,3.6,412.93,gps,32253,32253
9710359959,2013-03-22 10:40,-111.44063,56.801242,5.0,2.2,297.26,gps,32261,32261B
9710487376,2012-04-08 07:00,-111.768324,57.512965,3.0,2.0,304.31,gps,32256,32256
9710329295,2014-01-24 19:10,-112.242944,56.710733,9.0,1.6,480.82,gps,33678,33678B
9710409721,2012-11-19 22:15,-111.527907,56.680522,2.0,1.6,361.55,gps,32267,32267
9710412956,2013-06-14 01:00,-112.301518,56.665558,19.0,1.6,508.24,gps,32267,32267
